2025-04-09 18:15:33 install libdb5.3-dev:amd64 <none> 5.3.28+dfsg2-1
2025-04-09 18:15:33 status half-installed libdb5.3-dev:amd64 5.3.28+dfsg2-1
2025-04-09 18:15:33 status unpacked libdb5.3-dev:amd64 5.3.28+dfsg2-1
2025-04-09 18:15:33 install libdb-dev:amd64 <none> 5.3.2
2025-04-09 18:15:33 status half-installed libdb-dev:amd64 5.3.2
2025-04-09 18:15:33 status unpacked libdb-dev:amd64 5.3.2
2025-04-09 18:15:33 install libexpat1:amd64 <none> 2.5.0-1+deb12u1
2025-04-09 18:15:33 status half-installed libexpat1:amd64 2.5.0-1+deb12u1
2025-04-09 18:15:33 status unpacked libexpat1:amd64 2.5.0-1+deb12u1
2025-04-09 18:15:33 install libexpat1-dev:amd64 <none> 2.5.0-1+deb12u1
2025-04-09 18:15:33 status half-installed libexpat1-dev:amd64 2.5.0-1+deb12u1
2025-04-09 18:15:33 status unpacked libexpat1-dev:amd64 2.5.0-1+deb12u1
2025-04-09 18:15:33 install libffi-dev:amd64 <none> 3.4.4-1
2025-04-09 18:15:33 status half-installed libffi-dev:amd64 3.4.4-1
2025-04-09 18:15:33 status unpacked libffi-dev:amd64 3.4.4-1
2025-04-09 18:15:33 install libpng16-16:amd64 <none> 1.6.39-2
2025-04-09 18:15:33 status half-installed libpng16-16:amd64 1.6.39-2
2025-04-09 18:15:33 status unpacked libpng16-16:amd64 1.6.39-2
2025-04-09 18:15:33 install libfreetype6:amd64 <none> 2.12.1+dfsg-5+deb12u4
2025-04-09 18:15:33 status half-installed libfreetype6:amd64 2.12.1+dfsg-5+deb12u4
2025-04-09 18:15:33 status unpacked libfreetype6:amd64 2.12.1+dfsg-5+deb12u4
2025-04-09 18:15:33 install libfontconfig1:amd64 <none> 2.14.1-4
2025-04-09 18:15:33 status half-installed libfontconfig1:amd64 2.14.1-4
2025-04-09 18:15:33 status unpacked libfontconfig1:amd64 2.14.1-4
2025-04-09 18:15:33 install zlib1g-dev:amd64 <none> 1:1.2.13.dfsg-1
2025-04-09 18:15:33 status half-installed zlib1g-dev:amd64 1:1.2.13.dfsg-1
2025-04-09 18:15:33 status unpacked zlib1g-dev:amd64 1:1.2.13.dfsg-1
2025-04-09 18:15:33 install libpng-dev:amd64 <none> 1.6.39-2
2025-04-09 18:15:33 status half-installed libpng-dev:amd64 1.6.39-2
2025-04-09 18:15:33 status unpacked libpng-dev:amd64 1.6.39-2
2025-04-09 18:15:33 install libfreetype-dev:amd64 <none> 2.12.1+dfsg-5+deb12u4
2025-04-09 18:15:33 status half-installed libfreetype-dev:amd64 2.12.1+dfsg-5+deb12u4
2025-04-09 18:15:33 status unpacked libfreetype-dev:amd64 2.12.1+dfsg-5+deb12u4
2025-04-09 18:15:34 install uuid-dev:amd64 <none> 2.38.1-5+deb12u3
2025-04-09 18:15:34 status half-installed uuid-dev:amd64 2.38.1-5+deb12u3
2025-04-09 18:15:34 status unpacked uuid-dev:amd64 2.38.1-5+deb12u3
2025-04-09 18:15:34 install libpkgconf3:amd64 <none> 1.8.1-1
2025-04-09 18:15:34 status half-installed libpkgconf3:amd64 1.8.1-1
2025-04-09 18:15:34 status unpacked libpkgconf3:amd64 1.8.1-1
2025-04-09 18:15:34 install pkgconf-bin:amd64 <none> 1.8.1-1
2025-04-09 18:15:34 status half-installed pkgconf-bin:amd64 1.8.1-1
2025-04-09 18:15:34 status unpacked pkgconf-bin:amd64 1.8.1-1
2025-04-09 18:15:34 install pkgconf:amd64 <none> 1.8.1-1
2025-04-09 18:15:34 status half-installed pkgconf:amd64 1.8.1-1
2025-04-09 18:15:34 status unpacked pkgconf:amd64 1.8.1-1
2025-04-09 18:15:34 install pkg-config:amd64 <none> 1.8.1-1
2025-04-09 18:15:34 status half-installed pkg-config:amd64 1.8.1-1
2025-04-09 18:15:34 status unpacked pkg-config:amd64 1.8.1-1
2025-04-09 18:15:34 install libfontconfig-dev:amd64 <none> 2.14.1-4
2025-04-09 18:15:34 status half-installed libfontconfig-dev:amd64 2.14.1-4
2025-04-09 18:15:34 status unpacked libfontconfig-dev:amd64 2.14.1-4
2025-04-09 18:15:34 install libfontconfig1-dev:amd64 <none> 2.14.1-4
2025-04-09 18:15:34 status half-installed libfontconfig1-dev:amd64 2.14.1-4
2025-04-09 18:15:34 status unpacked libfontconfig1-dev:amd64 2.14.1-4
2025-04-09 18:15:34 install libgdbm-dev:amd64 <none> 1.23-3
2025-04-09 18:15:34 status half-installed libgdbm-dev:amd64 1.23-3
2025-04-09 18:15:34 status unpacked libgdbm-dev:amd64 1.23-3
2025-04-09 18:15:34 install liblzma-dev:amd64 <none> 5.4.1-1
2025-04-09 18:15:34 status half-installed liblzma-dev:amd64 5.4.1-1
2025-04-09 18:15:34 status unpacked liblzma-dev:amd64 5.4.1-1
2025-04-09 18:15:34 install libncurses6:amd64 <none> 6.4-4
2025-04-09 18:15:34 status half-installed libncurses6:amd64 6.4-4
2025-04-09 18:15:34 status unpacked libncurses6:amd64 6.4-4
2025-04-09 18:15:34 install libncurses-dev:amd64 <none> 6.4-4
2025-04-09 18:15:34 status half-installed libncurses-dev:amd64 6.4-4
2025-04-09 18:15:34 status unpacked libncurses-dev:amd64 6.4-4
2025-04-09 18:15:34 install libncursesw5-dev:amd64 <none> 6.4-4
2025-04-09 18:15:34 status half-installed libncursesw5-dev:amd64 6.4-4
2025-04-09 18:15:34 status unpacked libncursesw5-dev:amd64 6.4-4
2025-04-09 18:15:34 install libpthread-stubs0-dev:amd64 <none> 0.4-1
2025-04-09 18:15:34 status half-installed libpthread-stubs0-dev:amd64 0.4-1
2025-04-09 18:15:34 status unpacked libpthread-stubs0-dev:amd64 0.4-1
2025-04-09 18:15:34 install libreadline-dev:amd64 <none> 8.2-1.3
2025-04-09 18:15:34 status half-installed libreadline-dev:amd64 8.2-1.3
2025-04-09 18:15:34 status unpacked libreadline-dev:amd64 8.2-1.3
2025-04-09 18:15:34 install libsqlite3-dev:amd64 <none> 3.40.1-2+deb12u1
2025-04-09 18:15:34 status half-installed libsqlite3-dev:amd64 3.40.1-2+deb12u1
2025-04-09 18:15:34 status unpacked libsqlite3-dev:amd64 3.40.1-2+deb12u1
2025-04-09 18:15:34 install libssl-dev:amd64 <none> 3.0.15-1~deb12u1
2025-04-09 18:15:34 status half-installed libssl-dev:amd64 3.0.15-1~deb12u1
